feature1	feature2	r	p	p_adjusted
Prevotellaceae_uncl(UCG-001)	Pseudobutyrivibrio	-0.1451	0.0959	0.12266279069767441
Prevotellaceae_uncl(UCG-001)	Shuttleworthia	-0.2712	0.004	0.006592674805771366
Prevotellaceae_uncl(UCG-001)	Syntrophococcus	-0.2085	0.023	0.03306389157792836
Monoglobus	Prevotellaceae_uncl(UCG-001)	0.2024	0.019	0.027880434782608696
Prevotellaceae_uncl(UCG-001)	uncl(NK4A214)	0.1628	0.0529	0.07174109589041096
Prevotellaceae_uncl(UCG-001)	uncl(UCG-010)	0.1796	0.036	0.05043396226415094
Prevotellaceae_uncl(UCG-001)	uncl(Family_XIII_AD3011)	0.1371	0.1229	0.15362499999999998
Eubacterium_nodatum	Prevotellaceae_uncl(UCG-001)	-0.2456	0.006	0.00951923076923077
Prevotellaceae_uncl(UCG-001)	Succiniclasticum	0.1626	0.0559	0.07478513513513513
Prevotellaceae_uncl(UCG-001)	Selenomonas	-0.1717	0.0539	0.07283121019108281
Dialister	Prevotellaceae_uncl(UCG-001)	-0.2961	0.003	0.005097254004576658
Megasphaera	Prevotellaceae_uncl(UCG-001)	-0.2987	0.001	0.0018702770780856424
Negativicutes_uncl	Prevotellaceae_uncl(UCG-001)	0.3055	0.002	0.0034859154929577463
Candidatus_Saccharimonas	Prevotellaceae_uncl(UCG-001)	0.1634	0.0529	0.07174109589041096
Prevotellaceae_uncl(UCG-001)	Rhodospirillales_uncl	0.1633	0.0559	0.07478513513513513
Comamonas	Prevotellaceae_uncl(UCG-001)	-0.0159	0.8611	0.8782510302197801
Prevotellaceae_uncl(UCG-001)	Ruminobacter	0.3782	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-001)	Succinivibrio	0.0769	0.3896	0.4383
Acinetobacter	Prevotellaceae_uncl(UCG-001)	0.0304	0.7303	0.7637292253521126
Prevotellaceae_uncl(UCG-001)	Sphaerochaeta	0.2494	0.002	0.0034859154929577463
Prevotellaceae_uncl(UCG-001)	Treponema	-0.0604	0.4815	0.5304358308605341
Prevotellaceae_uncl(UCG-001)	uncl(WPS-2)	0.4298	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	Prevotellaceae_uncl(YAB2003)	-0.6198	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	Rikenellaceae_uncl(RC9_gut)	0.5036	0.001	0.0018702770780856424
Bacteroidales_uncl	Prevotellaceae_uncl(UCG-003)	0.5087	0.001	0.0018702770780856424
Fibrobacter	Prevotellaceae_uncl(UCG-003)	-0.4843	0.001	0.0018702770780856424
Catenisphaera	Prevotellaceae_uncl(UCG-003)	-0.5904	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Prevotellaceae_uncl(UCG-003)	0.7592	0.001	0.0018702770780856424
Izemoplasmatales	Prevotellaceae_uncl(UCG-003)	0.6056	0.001	0.0018702770780856424
Lactobacillus	Prevotellaceae_uncl(UCG-003)	-0.5444	0.001	0.0018702770780856424
Limosilactobacillus	Prevotellaceae_uncl(UCG-003)	-0.6439	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	Streptococcus	-0.5497	0.001	0.0018702770780856424
Christensenellaceae_uncl(R-7)	Prevotellaceae_uncl(UCG-003)	0.7271	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Prevotellaceae_uncl(UCG-003)	0.6159	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Prevotellaceae_uncl(UCG-003)	0.7336	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	Pseudoramibacter	-0.4769	0.001	0.0018702770780856424
Acetitomaculum	Prevotellaceae_uncl(UCG-003)	-0.5205	0.001	0.0018702770780856424
Coprococcus	Prevotellaceae_uncl(UCG-003)	0.1518	0.0699	0.09194109831709478
Lachnospiraceae_uncl(NK3A20)	Prevotellaceae_uncl(UCG-003)	-0.6408	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	Pseudobutyrivibrio	-0.5847	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	Shuttleworthia	-0.7155	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	Syntrophococcus	-0.4718	0.001	0.0018702770780856424
Monoglobus	Prevotellaceae_uncl(UCG-003)	0.627	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	uncl(NK4A214)	0.7105	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	uncl(UCG-010)	0.7238	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	uncl(Family_XIII_AD3011)	0.3778	0.001	0.0018702770780856424
Eubacterium_nodatum	Prevotellaceae_uncl(UCG-003)	-0.5942	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	Succiniclasticum	0.5258	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	Selenomonas	-0.5348	0.001	0.0018702770780856424
Dialister	Prevotellaceae_uncl(UCG-003)	-0.6417	0.001	0.0018702770780856424
Megasphaera	Prevotellaceae_uncl(UCG-003)	-0.2312	0.006	0.00951923076923077
Negativicutes_uncl	Prevotellaceae_uncl(UCG-003)	0.7082	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Prevotellaceae_uncl(UCG-003)	0.6818	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	Rhodospirillales_uncl	0.7367	0.001	0.0018702770780856424
Comamonas	Prevotellaceae_uncl(UCG-003)	0.2072	0.007	0.0109536354056902
Prevotellaceae_uncl(UCG-003)	Ruminobacter	0.0471	0.5934	0.6335003594536305
Prevotellaceae_uncl(UCG-003)	Succinivibrio	-0.1955	0.02	0.02914622178606477
Acinetobacter	Prevotellaceae_uncl(UCG-003)	0.2624	0.004	0.006592674805771366
Prevotellaceae_uncl(UCG-003)	Sphaerochaeta	0.6409	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	Treponema	-0.4442	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-003)	uncl(WPS-2)	0.594	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	Rikenellaceae_uncl(RC9_gut)	-0.3801	0.001	0.0018702770780856424
Bacteroidales_uncl	Prevotellaceae_uncl(YAB2003)	-0.3793	0.001	0.0018702770780856424
Fibrobacter	Prevotellaceae_uncl(YAB2003)	0.3655	0.001	0.0018702770780856424
Catenisphaera	Prevotellaceae_uncl(YAB2003)	0.5238	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Prevotellaceae_uncl(YAB2003)	-0.6356	0.001	0.0018702770780856424
Izemoplasmatales	Prevotellaceae_uncl(YAB2003)	-0.348	0.002	0.0034859154929577463
Lactobacillus	Prevotellaceae_uncl(YAB2003)	0.651	0.001	0.0018702770780856424
Limosilactobacillus	Prevotellaceae_uncl(YAB2003)	0.6899	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	Streptococcus	0.7552	0.001	0.0018702770780856424
Christensenellaceae_uncl(R-7)	Prevotellaceae_uncl(YAB2003)	-0.6752	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Prevotellaceae_uncl(YAB2003)	-0.4784	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Prevotellaceae_uncl(YAB2003)	-0.5839	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	Pseudoramibacter	0.504	0.001	0.0018702770780856424
Acetitomaculum	Prevotellaceae_uncl(YAB2003)	0.2875	0.006	0.00951923076923077
Coprococcus	Prevotellaceae_uncl(YAB2003)	-0.1896	0.028	0.03967557251908397
Lachnospiraceae_uncl(NK3A20)	Prevotellaceae_uncl(YAB2003)	0.5698	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	Pseudobutyrivibrio	0.6308	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	Shuttleworthia	0.5103	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	Syntrophococcus	0.4099	0.001	0.0018702770780856424
Monoglobus	Prevotellaceae_uncl(YAB2003)	-0.4776	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	uncl(NK4A214)	-0.6557	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	uncl(UCG-010)	-0.6208	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	uncl(Family_XIII_AD3011)	-0.3135	0.002	0.0034859154929577463
Eubacterium_nodatum	Prevotellaceae_uncl(YAB2003)	0.5539	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	Succiniclasticum	-0.5282	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	Selenomonas	0.7348	0.001	0.0018702770780856424
Dialister	Prevotellaceae_uncl(YAB2003)	0.8087	0.001	0.0018702770780856424
Megasphaera	Prevotellaceae_uncl(YAB2003)	0.1712	0.038	0.05303571428571428
Negativicutes_uncl	Prevotellaceae_uncl(YAB2003)	-0.6501	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Prevotellaceae_uncl(YAB2003)	-0.5565	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	Rhodospirillales_uncl	-0.512	0.001	0.0018702770780856424
Comamonas	Prevotellaceae_uncl(YAB2003)	-0.2636	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	Ruminobacter	0.1486	0.0849	0.1097271540469974
Prevotellaceae_uncl(YAB2003)	Succinivibrio	0.5109	0.001	0.0018702770780856424
Acinetobacter	Prevotellaceae_uncl(YAB2003)	-0.2197	0.006	0.00951923076923077
Prevotellaceae_uncl(YAB2003)	Sphaerochaeta	-0.5265	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	Treponema	0.5286	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	uncl(WPS-2)	-0.4523	0.001	0.0018702770780856424
Bacteroidales_uncl	Rikenellaceae_uncl(RC9_gut)	0.3723	0.001	0.0018702770780856424
Fibrobacter	Rikenellaceae_uncl(RC9_gut)	-0.1687	0.0569	0.0759177897574124
Catenisphaera	Rikenellaceae_uncl(RC9_gut)	-0.3588	0.002	0.0034859154929577463
Erysipelotrichaceae_uncl	Rikenellaceae_uncl(RC9_gut)	0.4793	0.001	0.0018702770780856424
Izemoplasmatales	Rikenellaceae_uncl(RC9_gut)	0.3968	0.001	0.0018702770780856424
Lactobacillus	Rikenellaceae_uncl(RC9_gut)	0.0528	0.5285	0.5711954148471615
Limosilactobacillus	Rikenellaceae_uncl(RC9_gut)	-0.1072	0.2008	0.2391242983159583
Rikenellaceae_uncl(RC9_gut)	Streptococcus	-0.2016	0.039	0.054329268292682927
Christensenellaceae_uncl(R-7)	Rikenellaceae_uncl(RC9_gut)	0.7479	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Rikenellaceae_uncl(RC9_gut)	0.3634	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Rikenellaceae_uncl(RC9_gut)	0.505	0.001	0.0018702770780856424
Pseudoramibacter	Rikenellaceae_uncl(RC9_gut)	-0.3143	0.002	0.0034859154929577463
Acetitomaculum	Rikenellaceae_uncl(RC9_gut)	-0.1354	0.1199	0.15038133445945948
Coprococcus	Rikenellaceae_uncl(RC9_gut)	0.0216	0.8232	0.8459875432525952
Lachnospiraceae_uncl(NK3A20)	Rikenellaceae_uncl(RC9_gut)	-0.1662	0.0599	0.07970564516129033
Pseudobutyrivibrio	Rikenellaceae_uncl(RC9_gut)	-0.3575	0.001	0.0018702770780856424
Rikenellaceae_uncl(RC9_gut)	Shuttleworthia	-0.4014	0.001	0.0018702770780856424
Rikenellaceae_uncl(RC9_gut)	Syntrophococcus	-0.3075	0.001	0.0018702770780856424
Monoglobus	Rikenellaceae_uncl(RC9_gut)	0.3351	0.001	0.0018702770780856424
Rikenellaceae_uncl(RC9_gut)	uncl(NK4A214)	0.4722	0.001	0.0018702770780856424
Rikenellaceae_uncl(RC9_gut)	uncl(UCG-010)	0.5625	0.001	0.0018702770780856424
Rikenellaceae_uncl(RC9_gut)	uncl(Family_XIII_AD3011)	0.3378	0.002	0.0034859154929577463
Eubacterium_nodatum	Rikenellaceae_uncl(RC9_gut)	-0.3493	0.001	0.0018702770780856424
Rikenellaceae_uncl(RC9_gut)	Succiniclasticum	0.4998	0.001	0.0018702770780856424
Rikenellaceae_uncl(RC9_gut)	Selenomonas	-0.4318	0.001	0.0018702770780856424
Dialister	Rikenellaceae_uncl(RC9_gut)	-0.3962	0.002	0.0034859154929577463
Megasphaera	Rikenellaceae_uncl(RC9_gut)	-0.1353	0.1179	0.14812309644670052
Negativicutes_uncl	Rikenellaceae_uncl(RC9_gut)	0.4756	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Rikenellaceae_uncl(RC9_gut)	0.3754	0.001	0.0018702770780856424
Rhodospirillales_uncl	Rikenellaceae_uncl(RC9_gut)	0.4259	0.001	0.0018702770780856424
Comamonas	Rikenellaceae_uncl(RC9_gut)	-0.0782	0.3377	0.3842793103448276
Rikenellaceae_uncl(RC9_gut)	Ruminobacter	0.2633	0.013	0.019559270516717325
Rikenellaceae_uncl(RC9_gut)	Succinivibrio	-0.1409	0.1159	0.14573370025402202
Acinetobacter	Rikenellaceae_uncl(RC9_gut)	0.0323	0.7273	0.7616646685472496
Rikenellaceae_uncl(RC9_gut)	Sphaerochaeta	0.4107	0.001	0.0018702770780856424
Rikenellaceae_uncl(RC9_gut)	Treponema	0.0711	0.4036	0.4513147590361446
Rikenellaceae_uncl(RC9_gut)	uncl(WPS-2)	0.3101	0.002	0.0034859154929577463
Bacteroidales_uncl	Fibrobacter	-0.0533	0.5584	0.5987176895306859
Bacteroidales_uncl	Catenisphaera	-0.3415	0.001	0.0018702770780856424
Bacteroidales_uncl	Erysipelotrichaceae_uncl	0.3542	0.001	0.0018702770780856424
Bacteroidales_uncl	Izemoplasmatales	0.4376	0.001	0.0018702770780856424
Bacteroidales_uncl	Lactobacillus	-0.3119	0.002	0.0034859154929577463
Bacteroidales_uncl	Limosilactobacillus	-0.2491	0.005	0.008114754098360656
Bacteroidales_uncl	Streptococcus	-0.3822	0.001	0.0018702770780856424
Bacteroidales_uncl	Christensenellaceae_uncl(R-7)	0.4664	0.001	0.0018702770780856424
Bacteroidales_uncl	Clostridia_uncl(UCG-014)	0.5914	0.001	0.0018702770780856424
Bacteroidales_uncl	Clostridia_uncl(vadinBB60)	0.4704	0.001	0.0018702770780856424
Bacteroidales_uncl	Pseudoramibacter	-0.3365	0.001	0.0018702770780856424
Acetitomaculum	Bacteroidales_uncl	-0.4806	0.001	0.0018702770780856424
Bacteroidales_uncl	Coprococcus	-0.0314	0.7423	0.7751867088607595
Bacteroidales_uncl	Lachnospiraceae_uncl(NK3A20)	-0.3631	0.001	0.0018702770780856424
Bacteroidales_uncl	Pseudobutyrivibrio	-0.1544	0.0709	0.09292718446601943
Bacteroidales_uncl	Shuttleworthia	-0.483	0.001	0.0018702770780856424
Bacteroidales_uncl	Syntrophococcus	-0.3535	0.001	0.0018702770780856424
Bacteroidales_uncl	Monoglobus	0.1553	0.0679	0.08938962765957446
Bacteroidales_uncl	uncl(NK4A214)	0.3975	0.001	0.0018702770780856424
Bacteroidales_uncl	uncl(UCG-010)	0.4828	0.001	0.0018702770780856424
Bacteroidales_uncl	uncl(Family_XIII_AD3011)	0.027	0.7722	0.8024611616515045
Bacteroidales_uncl	Eubacterium_nodatum	-0.4174	0.001	0.0018702770780856424
Bacteroidales_uncl	Succiniclasticum	0.171	0.044	0.060556070435588506
Bacteroidales_uncl	Selenomonas	-0.2865	0.002	0.0034859154929577463
Bacteroidales_uncl	Dialister	-0.4593	0.001	0.0018702770780856424
Bacteroidales_uncl	Megasphaera	-0.3003	0.001	0.0018702770780856424
Bacteroidales_uncl	Negativicutes_uncl	0.5218	0.001	0.0018702770780856424
Bacteroidales_uncl	Candidatus_Saccharimonas	0.3647	0.001	0.0018702770780856424
Bacteroidales_uncl	Rhodospirillales_uncl	0.6383	0.001	0.0018702770780856424
Bacteroidales_uncl	Comamonas	-0.1334	0.1069	0.13556490179333902
Bacteroidales_uncl	Ruminobacter	0.4621	0.001	0.0018702770780856424
Bacteroidales_uncl	Succinivibrio	-0.0344	0.6593	0.6983313124108417
Acinetobacter	Bacteroidales_uncl	0.1097	0.2088	0.24706613545816733
Bacteroidales_uncl	Sphaerochaeta	0.4643	0.001	0.0018702770780856424
Bacteroidales_uncl	Treponema	-0.3284	0.002	0.0034859154929577463
Bacteroidales_uncl	uncl(WPS-2)	0.3716	0.001	0.0018702770780856424
Catenisphaera	Fibrobacter	0.1976	0.027	0.03844199424736337
Erysipelotrichaceae_uncl	Fibrobacter	-0.6201	0.001	0.0018702770780856424
Fibrobacter	Izemoplasmatales	-0.1813	0.043	0.05923469387755101
Fibrobacter	Lactobacillus	0.601	0.001	0.0018702770780856424
Fibrobacter	Limosilactobacillus	0.6368	0.001	0.0018702770780856424
Fibrobacter	Streptococcus	0.2341	0.018	0.02649157581764123
Christensenellaceae_uncl(R-7)	Fibrobacter	-0.4708	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Fibrobacter	-0.2466	0.004	0.006592674805771366
Clostridia_uncl(vadinBB60)	Fibrobacter	-0.2937	0.001	0.0018702770780856424
Fibrobacter	Pseudoramibacter	0.0753	0.4106	0.4577635135135135
Acetitomaculum	Fibrobacter	0.2416	0.015	0.0223420260782347
Coprococcus	Fibrobacter	-0.3883	0.001	0.0018702770780856424
Fibrobacter	Lachnospiraceae_uncl(NK3A20)	0.6592	0.001	0.0018702770780856424
Fibrobacter	Pseudobutyrivibrio	0.561	0.001	0.0018702770780856424
Fibrobacter	Shuttleworthia	0.6264	0.001	0.0018702770780856424
Fibrobacter	Syntrophococcus	-0.0239	0.7922	0.8203744769874477
Fibrobacter	Monoglobus	-0.6355	0.001	0.0018702770780856424
Fibrobacter	uncl(NK4A214)	-0.4704	0.001	0.0018702770780856424
Fibrobacter	uncl(UCG-010)	-0.2839	0.003	0.005097254004576658
Fibrobacter	uncl(Family_XIII_AD3011)	-0.5116	0.001	0.0018702770780856424
Eubacterium_nodatum	Fibrobacter	0.0799	0.3516	0.3976587966488957
Fibrobacter	Succiniclasticum	-0.4186	0.001	0.0018702770780856424
Fibrobacter	Selenomonas	0.5151	0.001	0.0018702770780856424
Dialister	Fibrobacter	0.2161	0.02	0.02914622178606477
Fibrobacter	Megasphaera	0.3105	0.002	0.0034859154929577463
Fibrobacter	Negativicutes_uncl	-0.3888	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Fibrobacter	-0.5782	0.001	0.0018702770780856424
Fibrobacter	Rhodospirillales_uncl	-0.2281	0.01	0.015277777777777779
Comamonas	Fibrobacter	-0.3286	0.002	0.0034859154929577463
Fibrobacter	Ruminobacter	0.3203	0.004	0.006592674805771366
Fibrobacter	Succinivibrio	0.0277	0.7423	0.7751867088607595
Acinetobacter	Fibrobacter	-0.325	0.002	0.0034859154929577463
Fibrobacter	Sphaerochaeta	-0.2642	0.003	0.005097254004576658
Fibrobacter	Treponema	0.5649	0.001	0.0018702770780856424
Fibrobacter	uncl(WPS-2)	-0.4383	0.001	0.0018702770780856424
Catenisphaera	Erysipelotrichaceae_uncl	-0.5181	0.001	0.0018702770780856424
Catenisphaera	Izemoplasmatales	-0.5169	0.001	0.0018702770780856424
Catenisphaera	Lactobacillus	0.4797	0.002	0.0034859154929577463
Catenisphaera	Limosilactobacillus	0.6545	0.001	0.0018702770780856424
Catenisphaera	Streptococcus	0.5704	0.001	0.0018702770780856424
Catenisphaera	Christensenellaceae_uncl(R-7)	-0.4804	0.001	0.0018702770780856424
Catenisphaera	Clostridia_uncl(UCG-014)	-0.5766	0.001	0.0018702770780856424
Catenisphaera	Clostridia_uncl(vadinBB60)	-0.6445	0.001	0.0018702770780856424
Catenisphaera	Pseudoramibacter	0.7936	0.001	0.0018702770780856424
Acetitomaculum	Catenisphaera	0.3844	0.001	0.0018702770780856424
Catenisphaera	Coprococcus	0.3174	0.001	0.0018702770780856424
Catenisphaera	Lachnospiraceae_uncl(NK3A20)	0.5159	0.001	0.0018702770780856424
Catenisphaera	Pseudobutyrivibrio	0.4013	0.001	0.0018702770780856424
Catenisphaera	Shuttleworthia	0.4497	0.001	0.0018702770780856424
Catenisphaera	Syntrophococcus	0.699	0.001	0.0018702770780856424
Catenisphaera	Monoglobus	-0.5035	0.001	0.0018702770780856424
Catenisphaera	uncl(NK4A214)	-0.5327	0.001	0.0018702770780856424
Catenisphaera	uncl(UCG-010)	-0.7455	0.001	0.0018702770780856424
Catenisphaera	uncl(Family_XIII_AD3011)	-0.234	0.009	0.013892931392931391
Catenisphaera	Eubacterium_nodatum	0.7694	0.001	0.0018702770780856424
Catenisphaera	Succiniclasticum	-0.343	0.001	0.0018702770780856424
Catenisphaera	Selenomonas	0.3493	0.001	0.0018702770780856424
Catenisphaera	Dialister	0.6352	0.001	0.0018702770780856424
Catenisphaera	Megasphaera	-0.1825	0.031	0.04359375
Catenisphaera	Negativicutes_uncl	-0.5818	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Catenisphaera	-0.353	0.001	0.0018702770780856424
Catenisphaera	Rhodospirillales_uncl	-0.6404	0.001	0.0018702770780856424
Catenisphaera	Comamonas	-0.2555	0.002	0.0034859154929577463
Catenisphaera	Ruminobacter	-0.005	0.957	0.9615324763193503
Catenisphaera	Succinivibrio	0.4548	0.001	0.0018702770780856424
Acinetobacter	Catenisphaera	-0.0414	0.6304	0.6691522516082916
Catenisphaera	Sphaerochaeta	-0.6296	0.001	0.0018702770780856424
Catenisphaera	Treponema	0.2118	0.017	0.02509443339960239
Catenisphaera	uncl(WPS-2)	-0.4051	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Izemoplasmatales	0.5015	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Lactobacillus	-0.557	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Limosilactobacillus	-0.6432	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Streptococcus	-0.4834	0.001	0.0018702770780856424
Christensenellaceae_uncl(R-7)	Erysipelotrichaceae_uncl	0.6913	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Erysipelotrichaceae_uncl	0.5021	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Erysipelotrichaceae_uncl	0.6983	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Pseudoramibacter	-0.4164	0.001	0.0018702770780856424
Acetitomaculum	Erysipelotrichaceae_uncl	-0.383	0.001	0.0018702770780856424
Coprococcus	Erysipelotrichaceae_uncl	0.2209	0.006	0.00951923076923077
Erysipelotrichaceae_uncl	Lachnospiraceae_uncl(NK3A20)	-0.6566	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Pseudobutyrivibrio	-0.5539	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Shuttleworthia	-0.6725	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Syntrophococcus	-0.4144	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Monoglobus	0.7165	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	uncl(NK4A214)	0.6719	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	uncl(UCG-010)	0.6767	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	uncl(Family_XIII_AD3011)	0.5335	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Eubacterium_nodatum	-0.5162	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Succiniclasticum	0.5871	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Selenomonas	-0.6126	0.001	0.0018702770780856424
Dialister	Erysipelotrichaceae_uncl	-0.5987	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Megasphaera	-0.173	0.042	0.05812674743709227
Erysipelotrichaceae_uncl	Negativicutes_uncl	0.7174	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Erysipelotrichaceae_uncl	0.6888	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Rhodospirillales_uncl	0.5698	0.001	0.0018702770780856424
Comamonas	Erysipelotrichaceae_uncl	0.3336	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Ruminobacter	-0.0379	0.6723	0.7105804270462633
Erysipelotrichaceae_uncl	Succinivibrio	-0.1814	0.037	0.05173728813559322
Acinetobacter	Erysipelotrichaceae_uncl	0.3151	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Sphaerochaeta	0.5485	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Treponema	-0.4622	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	uncl(WPS-2)	0.5489	0.001	0.0018702770780856424
Izemoplasmatales	Lactobacillus	-0.2729	0.004	0.006592674805771366
Izemoplasmatales	Limosilactobacillus	-0.4171	0.001	0.0018702770780856424
Izemoplasmatales	Streptococcus	-0.2999	0.002	0.0034859154929577463
Christensenellaceae_uncl(R-7)	Izemoplasmatales	0.4884	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Izemoplasmatales	0.5964	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Izemoplasmatales	0.6267	0.001	0.0018702770780856424
Izemoplasmatales	Pseudoramibacter	-0.2735	0.004	0.006592674805771366
Acetitomaculum	Izemoplasmatales	-0.6002	0.001	0.0018702770780856424
Coprococcus	Izemoplasmatales	-0.1078	0.2148	0.2529563838223632
Izemoplasmatales	Lachnospiraceae_uncl(NK3A20)	-0.5267	0.001	0.0018702770780856424
Izemoplasmatales	Pseudobutyrivibrio	-0.3424	0.002	0.0034859154929577463
Izemoplasmatales	Shuttleworthia	-0.5473	0.001	0.0018702770780856424
Izemoplasmatales	Syntrophococcus	-0.5585	0.001	0.0018702770780856424
Izemoplasmatales	Monoglobus	0.4361	0.001	0.0018702770780856424
Izemoplasmatales	uncl(NK4A214)	0.6099	0.001	0.0018702770780856424
Izemoplasmatales	uncl(UCG-010)	0.6284	0.001	0.0018702770780856424
Izemoplasmatales	uncl(Family_XIII_AD3011)	0.292	0.003	0.005097254004576658
Eubacterium_nodatum	Izemoplasmatales	-0.5575	0.001	0.0018702770780856424
Izemoplasmatales	Succiniclasticum	0.1913	0.028	0.03967557251908397
Izemoplasmatales	Selenomonas	-0.2139	0.019	0.027880434782608696
Dialister	Izemoplasmatales	-0.3727	0.002	0.0034859154929577463
Izemoplasmatales	Megasphaera	0.0208	0.8172	0.840985446985447
Izemoplasmatales	Negativicutes_uncl	0.555	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Izemoplasmatales	0.4965	0.001	0.0018702770780856424
Izemoplasmatales	Rhodospirillales_uncl	0.691	0.001	0.0018702770780856424
Comamonas	Izemoplasmatales	0.0794	0.3317	0.3786122213681783
Izemoplasmatales	Ruminobacter	0.1387	0.1149	0.1448442275042445
Izemoplasmatales	Succinivibrio	-0.0488	0.6134	0.6525064469914039
Acinetobacter	Izemoplasmatales	0.0919	0.2897	0.33323353989155696
Izemoplasmatales	Sphaerochaeta	0.5384	0.001	0.0018702770780856424
Izemoplasmatales	Treponema	-0.1937	0.036	0.05043396226415094
Izemoplasmatales	uncl(WPS-2)	0.2859	0.001	0.0018702770780856424
Lactobacillus	Limosilactobacillus	0.826	0.001	0.0018702770780856424
Lactobacillus	Streptococcus	0.6104	0.001	0.0018702770780856424
Christensenellaceae_uncl(R-7)	Lactobacillus	-0.3156	0.004	0.006592674805771366
Clostridia_uncl(UCG-014)	Lactobacillus	-0.4419	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Lactobacillus	-0.4773	0.001	0.0018702770780856424
Lactobacillus	Pseudoramibacter	0.399	0.001	0.0018702770780856424
